set_no,name,price_store,price_new,price_used,rating_value,rating_votes,theme_group,theme,subtheme,main_tag,year,volume,weight,piece_cnt,minifig_cnt
7810-1,Push-Along Steam Engine,,252.0,66.0,3.0,1.0,Modern day,Trains,4.5/12 V,,1980.0,,,97.0,1.0
7814-1,Crane Wagon,,,53.0,5.0,1.0,Modern day,Trains,4.5/12 V,,1980.0,,,113.0,2.0
7816-1,Shell Tanker Wagon,,,42.0,2.0,2.0,Modern day,Trains,4.5/12 V,,1980.0,,,120.0,1.0
7818-1,Passenger Coach,,179.0,38.0,4.7,3.0,Modern day,Trains,4.5/12 V,,1980.0,,,114.0,2.0
7820-1,Mail Van,,308.0,81.0,4.0,3.0,Modern day,Trains,4.5/12 V,,1980.0,,,212.0,2.0
7822-1,Railway Station,,,95.0,4.5,2.0,Modern day,Trains,4.5/12 V,,1980.0,,,384.0,3.0
7834-1,Level Crossing,,169.0,41.0,3.0,2.0,Modern day,Trains,4.5/12 V,,1980.0,,,91.0,1.0
7850-1,8 Straight Rails Grey 4.5 V,,25.0,16.0,,,Modern day,Trains,4.5/12 V,,1980.0,,,32.0,0.0
7851-1,8 Curved Rails Grey 4.5 V,,12.0,9.0,5.0,1.0,Modern day,Trains,4.5/12 V,,1980.0,,,32.0,0.0
7852-1,Left and Right Points Manual Grey 4.5 V,,8.0,7.0,5.0,2.0,Modern day,Trains,4.5/12 V,,1980.0,,,14.0,0.0
7853-1,"Crossing, Grey 4.5 V",,8.0,7.0,,,Modern day,Trains,4.5/12 V,,1980.0,,,5.0,0.0
7854-1,8 Straight Electric Rails Grey 12 V,,23.0,14.0,4.0,1.0,Modern day,Trains,4.5/12 V,,1980.0,,,8.0,0.0
7855-1,8 Curved Electric Rails Grey 12 V,,11.0,7.0,,,Modern day,Trains,4.5/12 V,,1980.0,,,8.0,0.0
7856-1,Left and Right Manual Points with Electric Rails Grey 12 V,,44.0,31.0,,,Modern day,Trains,4.5/12 V,,1980.0,,,16.0,0.0
7857-1,"Crossing, Electric Rails Grey 12 V",,12.0,7.0,,,Modern day,Trains,4.5/12 V,,1980.0,,,5.0,0.0
7858-1,Remote Controlled Points Right 12 V,,73.0,41.0,,,Modern day,Trains,4.5/12 V,,1980.0,,,12.0,0.0
7859-1,Remote Controlled Points Left 12 V,,91.0,41.0,,,Modern day,Trains,4.5/12 V,,1980.0,,,12.0,0.0
7860-1,Remote Controlled Signal 12 V,,142.0,76.0,4.5,2.0,Modern day,Trains,4.5/12 V,,1980.0,,,24.0,0.0
7861-1,Lighting Set Electric 12 V,,47.0,24.0,4.0,1.0,Modern day,Trains,4.5/12 V,,1980.0,,,28.0,0.0
7863-1,Remote Controlled Point Motor 12 V,,52.0,42.0,3.0,1.0,Modern day,Trains,4.5/12 V,,1980.0,,,7.0,0.0
7864-1,Transformer / Speed Controller 12 V,,76.0,27.0,3.5,2.0,Modern day,Trains,4.5/12 V,,1980.0,,,33.0,0.0
7865-1,Motor Replacement Unit for Battery or Motor-Less Trains 12 V,,188.0,92.0,4.0,1.0,Modern day,Trains,4.5/12 V,,1980.0,,,19.0,0.0
8857-2,Motorcycles,49.5,,79.0,,,Technical,Technic,,,1980.0,,,377.0,0.0
8858-2,Auto Engines,69.0,,100.0,5.0,2.0,Technical,Technic,,,1980.0,,,460.0,0.0
8860-1,Car Chassis,59.0,661.0,94.0,4.7,19.0,Technical,Technic,,,1980.0,,,668.0,0.0
3601-1,Elton Elephant,,,9.0,3.0,1.0,Junior,Fabuland,,,1981.0,,,6.0,1.0
3603-1,Boris Bulldog and Mailbox,,,6.0,3.0,1.0,Junior,Fabuland,,,1981.0,,,5.0,1.0
3615-1,Percy Pig,,,7.0,,,Junior,Fabuland,,,1981.0,,,4.0,1.0
3628-1,Perry Panda and Chester Chimp,,25.0,13.0,4.0,1.0,Junior,Fabuland,,,1981.0,,,3.0,2.0
3629-1,Barney Bear,,52.0,9.0,,,Junior,Fabuland,,,1981.0,,,16.0,1.0
3635-1,Bonnie Bunny's Camper,,125.0,15.0,3.5,2.0,Junior,Fabuland,,,1981.0,,,25.0,1.0
6075-2,Castle,48.0,,335.0,5.0,1.0,Historical,Castle,Classic,,1981.0,,,767.0,14.0
6077-1,Knight's Procession,5.0,,43.0,4.0,1.0,Historical,Castle,Classic,,1981.0,,,48.0,6.0
6083-1,Knight's Joust,16.0,,195.0,,,Historical,Castle,Classic,,1981.0,,,211.0,6.0
6365-1,Summer Cottage,,211.0,30.0,4.7,6.0,Modern day,Town,Leisure,,1981.0,,,144.0,1.0
6382-1,Fire Station,25.0,417.0,52.0,4.7,9.0,Modern day,Town,Fire,,1981.0,,,390.0,4.0
6383-1,Public Works Center,30.0,799.0,447.0,5.0,6.0,Modern day,Town,Maintenance,,1981.0,,,421.0,4.0
6600-1,Police Patrol,,,20.0,3.5,2.0,Modern day,Town,Classic,,1981.0,,,23.0,1.0
6602-1,Fire Unit I,,,7.0,2.0,1.0,Modern day,Town,Classic,,1981.0,,,29.0,1.0
6610-1,Gas Pumps,,89.0,7.0,4.3,3.0,Modern day,Town,Shops and Services,,1981.0,,,29.0,1.0
6611-1,Fire Chief's Car,,88.0,2.0,4.0,3.0,Modern day,Town,Fire,,1981.0,,,20.0,1.0
6626-1,Rescue Helicopter,,,14.0,,,Modern day,Town,Classic,,1981.0,,,37.0,0.0
6628-1,Shell Tow Truck,,53.0,5.0,3.8,5.0,Modern day,Town,Vehicles,,1981.0,,,38.0,0.0
6629-1,Ambulance,,126.0,4.0,4.0,2.0,Modern day,Town,Medical,,1981.0,,,39.0,1.0
6630-1,Bucket Loader,,125.0,5.0,4.3,3.0,Modern day,Town,Construction,,1981.0,,,34.0,1.0
6650-1,Fire and Rescue Van,,127.0,7.0,4.0,2.0,Modern day,Town,Fire,,1981.0,,,46.0,1.0
6680-1,Ambulance,,148.0,11.0,5.0,2.0,Modern day,Town,Medical,,1981.0,,,63.0,2.0
6681-1,Police Van,,500.0,9.0,4.7,3.0,Modern day,Town,Police,,1981.0,,,82.0,1.0
6691-1,Red Cross Helicopter,,78.0,13.0,4.3,3.0,Modern day,Town,Medical,,1981.0,,,107.0,2.0
6801-1,Moon Buggy,,70.0,9.0,4.7,6.0,Action/Adventure,Space,Classic,,1981.0,,,22.0,1.0
6822-1,Space Digger,,52.0,7.0,3.7,6.0,Action/Adventure,Space,Classic,,1981.0,,,33.0,1.0
6842-1,Small Space Shuttle Craft,,113.0,9.0,3.6,5.0,Action/Adventure,Space,Classic,,1981.0,,,46.0,1.0
6870-1,Space Probe Launcher,,112.0,10.0,3.3,6.0,Action/Adventure,Space,Classic,,1981.0,,,60.0,1.0
6927-1,All-Terrain Vehicle,14.5,299.0,43.0,4.5,8.0,Action/Adventure,Space,Classic,,1981.0,,,170.0,2.0
6929-1,Star Fleet Voyager,15.0,650.0,59.0,4.8,12.0,Action/Adventure,Space,Classic,,1981.0,,,242.0,1.0
7725-1,Electric Passenger Train Set,70.0,986.0,185.0,4.4,5.0,Modern day,Trains,4.5/12 V,,1981.0,,,485.0,1.0
7862-1,Remote Controlled Decoupling and Signal 12 V,,148.0,95.0,3.0,1.0,Modern day,Trains,4.5/12 V,,1981.0,,,16.0,0.0
8710-1,Technical Elements,,49.0,34.0,4.0,1.0,Technical,Technic,Supplementary,,1981.0,,,124.0,0.0
8844-1,Helicopter,,288.0,26.0,4.3,3.0,Technical,Technic,,,1981.0,,,316.0,0.0
8845-1,Dune Buggy,20.0,295.0,17.0,3.6,8.0,Technical,Technic,,,1981.0,,,174.0,0.0
8848-1,Power Truck,,425.0,49.0,4.2,6.0,Technical,Technic,,,1981.0,,,398.0,0.0
8859-1,Tractor,,,105.0,3.7,6.0,Technical,Technic,,,1981.0,,,610.0,0.0
1590-2,Breakdown Assistance,,,127.0,4.0,1.0,Modern day,Town,Special,,1982.0,,,233.0,4.0
3654-1,Lisa Lamb's House,10.0,140.0,16.0,,,Junior,Fabuland,,,1982.0,,,32.0,1.0
3666-1,Billy Bear and Mortimer Mouse's Service Station,,,99.0,,,Junior,Fabuland,,,1982.0,,,28.0,2.0
3667-1,Pat and Freddy's Shop,,,79.0,4.0,1.0,Junior,Fabuland,,,1982.0,,,58.0,2.0
3669-1,Fire Station,,,49.0,,,Junior,Fabuland,,,1982.0,,,33.0,3.0
3672-1,The Motel,,,90.0,5.0,1.0,Junior,Fabuland,,,1982.0,,,60.0,3.0
3678-1,Lionel Lion's Lodge,,,224.0,,,Junior,Fabuland,,,1982.0,,,123.0,4.0
3694-1,Figure collection,,,,,,Junior,Fabuland,,,1982.0,,,,0.0
3695-1,Figure collection,,,,,,Junior,Fabuland,,,1982.0,,,,80.0
3701-1,Charlie Cat the fisherman,1.5,17.0,8.0,4.0,2.0,Junior,Fabuland,,,1982.0,,,2.0,1.0
3703-1,Peter Pig the Cook,,1.0,6.0,3.0,1.0,Junior,Fabuland,,,1982.0,,,2.0,1.0
3704-1,Marjorie Mouse,1.5,,8.0,,,Junior,Fabuland,,,1982.0,,,2.0,1.0
3706-1,Ernie Elephant,,30.0,6.0,3.0,2.0,Junior,Fabuland,,,1982.0,,,2.0,1.0
3707-1,Clara Cow,,20.0,8.0,3.0,1.0,Junior,Fabuland,,,1982.0,,,2.0,1.0
3708-1,Rufus Rabbit,,22.0,6.0,3.5,2.0,Junior,Fabuland,,,1982.0,,,3.0,1.0
3781-1,Maximillian Mouse,,,11.0,,,Junior,Fabuland,,,1982.0,,,4.0,1.0
3782-1,Paul Parrot,,23.0,9.0,2.0,1.0,Junior,Fabuland,,,1982.0,,,4.0,1.0
3784-1,Hugo Hog the Tinker,,22.0,7.0,4.0,1.0,Junior,Fabuland,,,1982.0,,,4.0,1.0
3786-1,Boris Bulldog,,30.0,7.0,5.0,1.0,Junior,Fabuland,,,1982.0,,,8.0,1.0
4005-1,Tug Boat,10.0,,22.0,4.4,8.0,Modern day,Boats,,,1982.0,,,66.0,1.0
4015-1,Freighter,,,65.0,4.0,7.0,Modern day,Boats,,,1982.0,,,80.0,2.0
4025-1,Fire Boat,,275.0,33.0,4.5,2.0,Modern day,Boats,,,1982.0,,,150.0,3.0
6302-1,Mini-Figure Set,,77.0,30.0,5.0,2.0,Modern day,Town,Accessories,,1982.0,,,25.0,6.0
6308-1,Policemen,,,6.0,,,Modern day,Town,Accessories,,1982.0,,,20.0,4.0
6362-1,Post Office,,329.0,40.0,4.7,10.0,Modern day,Town,Postal,,1982.0,,,133.0,1.0
6372-1,Town House,,784.0,47.0,4.8,4.0,Modern day,Town,Leisure,,1982.0,,,217.0,2.0
6607-1,Service Truck,,73.0,4.0,4.0,5.0,Modern day,Town,Maintenance,,1982.0,,,25.0,1.0
6608-1,Tractor,,68.0,3.0,3.5,4.0,Modern day,Town,Maintenance,,1982.0,,,21.0,1.0
6651-1,Mail Truck,,167.0,11.0,4.2,5.0,Modern day,Town,Postal,,1982.0,,,47.0,1.0
6653-1,Highway Maintenance Truck,,36.0,11.0,4.5,4.0,Modern day,Town,Maintenance,,1982.0,,,56.0,1.0
6685-1,Fire Copter 1,,268.0,10.0,4.9,7.0,Modern day,Town,Fire,,1982.0,,,99.0,1.0
6880-1,Surface Explorer,7.5,134.0,23.0,4.0,4.0,Action/Adventure,Space,Classic,,1982.0,,,82.0,1.0
6890-1,Cosmic Cruiser,11.0,270.0,28.0,4.8,4.0,Action/Adventure,Space,Classic,,1982.0,,,115.0,1.0
6950-1,Mobile Rocket Transport,,410.0,72.0,4.6,7.0,Action/Adventure,Space,Classic,,1982.0,,,209.0,2.0
8030-1,Universal Set,,,11.0,3.7,3.0,Technical,Technic,Universal,,1982.0,,,141.0,0.0
8050-1,Universal Motor Set,,,35.0,4.0,1.0,Technical,Technic,Universal,,1982.0,,,141.0,0.0
8090-1,Universal Set,,,85.0,,,Technical,Technic,Universal,,1982.0,,,266.0,0.0
8700-1,Power Pack,,68.0,29.0,5.0,1.0,Technical,Technic,Supplementary,,1982.0,,,26.0,0.0
8846-1,Tow Truck,,,43.0,4.7,3.0,Technical,Technic,,,1982.0,,,379.0,0.0
1593-1,Super Model Building Instructions,,,215.0,2.2,6.0,Action/Adventure,Space,Classic,,1983.0,,,313.0,2.0
1924-1,Motorcycle,,,12.0,4.7,3.0,Technical,Technic,,,1983.0,,,103.0,0.0
3626-1,Roger Racoon and his Sports Car,,55.0,16.0,,,Junior,Fabuland,,,1983.0,,,16.0,1.0
3627-1,Bonnie Bunny ,,104.0,16.0,,,Junior,Fabuland,,,1983.0,,,18.0,1.0
3637-1,Gertrude Goat the painter,,,24.0,,,Junior,Fabuland,,,1983.0,,,14.0,1.0
3638-1,Fire Engine,,,14.0,,,Junior,Fabuland,,,1983.0,,,17.0,1.0
3709-1,Henry Horse the carpenter,,22.0,5.0,,,Junior,Fabuland,,,1983.0,,,2.0,1.0
3710-1,Patrick Panda,,18.0,8.0,,,Junior,Fabuland,,,1983.0,,,2.0,1.0
3787-1,Hannah Hippopotamus the public gardener,,32.0,12.0,,,Junior,Fabuland,,,1983.0,,,8.0,1.0
3788-1,Paulette Poodles' Living Room,,90.0,12.0,,,Junior,Fabuland,,,1983.0,,,12.0,1.0
6002-1,Town Figures,,,321.0,,,Modern day,Town,Accessories,,1983.0,,,20.0,4.0
6002-2,Castle Figures,,,45.0,4.5,2.0,Historical,Castle,Classic,,1983.0,,,22.0,4.0
6307-1,Firemen,,,192.0,4.0,1.0,Modern day,Town,Accessories,,1983.0,,,22.0,4.0
6371-1,Shell Service Station,,655.0,89.0,4.0,2.0,Modern day,Town,Shops and Services,,1983.0,,,261.0,3.0
6374-1,Holiday Home,,,66.0,5.0,4.0,Modern day,Town,Leisure,,1983.0,,,257.0,2.0
6384-1,Police Station,,325.0,52.0,4.5,6.0,Modern day,Town,Police,,1983.0,,,389.0,4.0
6606-1,Road Repair Set,,29.0,4.0,4.0,2.0,Modern day,Town,Maintenance,,1983.0,,,27.0,1.0
6623-1,Police Car,,28.0,7.0,4.3,6.0,Modern day,Town,Police,,1983.0,,,39.0,1.0
6624-1,Delivery Van,,67.0,8.0,4.5,6.0,Modern day,Town,Vehicles,,1983.0,,,41.0,1.0
6652-1,Construction Truck,,111.0,4.0,4.0,3.0,Modern day,Town,Construction,,1983.0,,,44.0,1.0
6654-1,Motorcycle Transport,,139.0,8.0,4.2,5.0,Modern day,Town,Vehicles,,1983.0,,,50.0,1.0
6683-1,Hamburger Stand,,305.0,30.0,5.0,7.0,Modern day,Town,Shops and Services,,1983.0,,,69.0,2.0
6692-1,Tractor Trailer,,249.0,16.0,4.5,4.0,Modern day,Town,Vehicles,,1983.0,,,96.0,1.0
6701-1,Minifig Pack,,159.0,23.0,5.0,2.0,Action/Adventure,Space,Classic,,1983.0,,,36.0,6.0
6711-1,Minifig Pack,4.5,,43.0,5.0,1.0,Action/Adventure,Space,Classic,,1983.0,,,24.0,4.0
6803-1,Space Patrol,,80.0,8.0,4.7,3.0,Action/Adventure,Space,Classic,,1983.0,,,25.0,1.0
6823-1,Surface Transport,,87.0,8.0,4.0,2.0,Action/Adventure,Space,Classic,,1983.0,,,27.0,1.0
6844-1,Sismobile,,75.0,8.0,5.0,4.0,Action/Adventure,Space,Classic,,1983.0,,,46.0,1.0
6930-1,Space Supply Station,,520.0,56.0,4.6,10.0,Action/Adventure,Space,Classic,,1983.0,,,206.0,4.0
6980-1,Galaxy Commander,,1846.0,150.0,4.7,11.0,Action/Adventure,Space,Classic,,1983.0,,,443.0,5.0
7727-1,Freight Steam Train Set,,,533.0,5.0,1.0,Modern day,Trains,4.5/12 V,,1983.0,,,570.0,2.0
7755-1,Diesel Heavy Shunting Locomotive,,588.0,213.0,3.8,4.0,Modern day,Trains,4.5/12 V,,1983.0,,,164.0,1.0
7815-1,Passenger Carriage / Sleeper,,480.0,141.0,4.8,4.0,Modern day,Trains,4.5/12 V,,1983.0,,,228.0,2.0
7819-1,Postal Container Wagon,,280.0,119.0,4.5,2.0,Modern day,Trains,4.5/12 V,,1983.0,,,183.0,1.0
7821-1,Track & Lighting Maintenance Wagon,,159.0,44.0,4.5,2.0,Modern day,Trains,4.5/12 V,,1983.0,,,90.0,2.0
7824-1,Railway Station,44.75,295.0,94.0,4.2,5.0,Modern day,Trains,4.5/12 V,,1983.0,,,478.0,9.0
7838-1,Freight Loading Depot,,407.0,133.0,5.0,1.0,Modern day,Trains,4.5/12 V,,1983.0,,,315.0,3.0
7866-1,Remote Controlled Road Crossing 12 V,,512.0,159.0,5.0,3.0,Modern day,Trains,4.5/12 V,,1983.0,,,191.0,1.0
7867-1,4 Lighting Standards Electric 12 V,,83.0,45.0,4.0,1.0,Modern day,Trains,4.5/12 V,,1983.0,,,52.0,0.0
8841-1,Dune Buggy,,111.0,10.0,3.0,3.0,Technical,Technic,,,1983.0,,,180.0,0.0
8847-1,Dragster,,,52.0,4.5,2.0,Technical,Technic,,,1983.0,,,250.0,0.0
15-1,Castle Minifigures,,,63.0,,,Historical,Castle,Classic,,1984.0,,,10.0,6.0
105-1,Mail Van,,199.0,102.0,4.0,1.0,Modern day,Town,Special,,1984.0,,,65.0,1.0
801-4,Fabuland Characters,,,,,,Junior,Fabuland,,,1984.0,,,,2.0
3630-1,Percy Pilot,,,18.0,,,Junior,Fabuland,,,1984.0,,,8.0,1.0
3639-1,Paddy Wagon,,,14.0,,,Junior,Fabuland,,,1984.0,,,9.0,2.0
3664-1,Bertie Bulldog (Police Chief) and Constable Bulldog,,,31.0,5.0,1.0,Junior,Fabuland,,,1984.0,,,63.0,2.0
3670-1,Service Station,20.0,,54.0,,,Junior,Fabuland,,,1984.0,,,52.0,2.0
3671-1,Airport,22.25,197.0,81.0,,,Junior,Fabuland,,,1984.0,,,49.0,3.0
3711-1,Tubby and Tuba,,,9.0,,,Junior,Fabuland,,,1984.0,,,4.0,1.0
3712-1,Robby Rabbit,,,6.0,,,Junior,Fabuland,,,1984.0,,,4.0,1.0
3713-1,Mike Monkey,,,21.0,,,Junior,Fabuland,,,1984.0,,,7.0,1.0
3789-1,Constable Clarke,,60.0,8.0,,,Junior,Fabuland,,,1984.0,,,5.0,1.0
3791-1,Wally Walrus,,,8.0,,,Junior,Fabuland,,,1984.0,,,6.0,1.0
6010-1,Supply Wagon,3.0,167.0,10.0,4.4,12.0,Historical,Castle,Lion Knights,,1984.0,,,35.0,1.0
6021-1,Jousting Knights,5.25,91.0,17.0,4.0,5.0,Historical,Castle,Lion Knights,,1984.0,,,37.0,2.0
6022-1,Horse Cart,5.0,54.0,15.0,3.3,6.0,Historical,Castle,Lion Knights,,1984.0,,,42.0,2.0
6030-1,Catapult,6.0,264.0,18.0,4.0,8.0,Historical,Castle,Black Falcons,,1984.0,,,83.0,2.0
6040-1,Blacksmith Shop,9.25,299.0,30.0,4.4,8.0,Historical,Castle,Lion Knights,,1984.0,,,92.0,2.0
6061-1,Siege Tower,17.5,333.0,44.0,4.3,6.0,Historical,Castle,Lion Knights,,1984.0,,,216.0,4.0
6073-1,Knight's Castle,27.0,862.0,97.0,4.4,12.0,Historical,Castle,Black Falcons,,1984.0,,,410.0,6.0
6080-1,King's Castle,52.75,2314.0,163.0,4.9,15.0,Historical,Castle,Lion Knights,,1984.0,,,674.0,12.0
6103-2,Castle Figures,,90.0,27.0,,,Historical,Castle,Accessories,,1984.0,,,25.0,4.0
6366-1,Fire & Rescue Squad,,227.0,24.0,4.3,4.0,Modern day,Town,Fire,,1984.0,,,112.0,3.0
6367-1,Semi Truck,,621.0,27.0,4.0,1.0,Modern day,Town,Vehicles,,1984.0,,,155.0,1.0
6373-1,Motorcycle Shop,17.5,1049.0,49.0,4.9,7.0,Modern day,Town,Shops and Services,,1984.0,,,171.0,2.0
6391-1,Cargo Center,43.0,688.0,182.0,5.0,1.0,Modern day,Town,Shops and Services,,1984.0,,,553.0,5.0
6605-1,Road Racer,,30.0,3.0,3.0,1.0,Modern day,Town,Racing,,1984.0,,,20.0,1.0
6621-1,Fire Truck,,175.0,6.0,3.0,1.0,Modern day,Town,Fire,,1984.0,,,38.0,1.0
6622-1,Mailman on Motorcycle,,88.0,7.0,4.3,4.0,Modern day,Town,Postal,,1984.0,,,26.0,2.0
6628-2,Construction Workers,,,,4.0,1.0,Modern day,Town,Accessories,,1984.0,,,20.0,4.0
6655-1,Auto & Tire Repair,,79.0,11.0,4.3,6.0,Modern day,Town,Shops and Services,,1984.0,,,58.0,1.0
6684-1,Police Patrol Squad,6.5,93.0,11.0,4.0,5.0,Modern day,Town,Police,,1984.0,,,77.0,2.0
6686-1,Backhoe,,284.0,12.0,5.0,1.0,Modern day,Town,Construction,,1984.0,,,88.0,1.0
6694-1,Car with Camper,,,13.0,5.0,1.0,Modern day,Town,Leisure,,1984.0,,,109.0,2.0
6695-1,Tanker Truck,,298.0,14.0,,,Modern day,Town,Vehicles,,1984.0,,,106.0,1.0
6696-1,Fuel Tanker,,,63.0,4.0,3.0,Modern day,Town,Vehicles,,1984.0,,,106.0,1.0
6804-1,Surface Rover,0.99,118.0,13.0,4.0,4.0,Action/Adventure,Space,Classic,,1984.0,,,21.0,1.0
6824-1,Space Dart I,,125.0,24.0,4.3,3.0,Action/Adventure,Space,Classic,,1984.0,,,48.0,1.0
6846-1,Tri-Star Voyager,4.45,208.0,10.0,4.8,5.0,Action/Adventure,Space,Classic,,1984.0,,,69.0,1.0
6871-1,Star Patrol Launcher,,198.0,18.0,4.0,2.0,Action/Adventure,Space,Classic,,1984.0,,,70.0,2.0
6881-1,Lunar Rocket Launcher,,411.0,21.0,5.0,1.0,Action/Adventure,Space,Classic,,1984.0,,,97.0,1.0
6928-1,Uranium Search Vehicle,,225.0,42.0,4.7,3.0,Action/Adventure,Space,Classic,,1984.0,,,199.0,2.0
6951-1,Robot Command Center,,413.0,67.0,4.9,8.0,Action/Adventure,Space,Classic,,1984.0,,,295.0,3.0
6971-1,Inter-Galactic Command Base,,1042.0,175.0,4.8,6.0,Action/Adventure,Space,Classic,,1984.0,,,328.0,3.0
8020-1,Universal Set,,28.0,13.0,5.0,4.0,Technical,Technic,Universal,,1984.0,,,119.0,0.0
8040-1,Universal Set,,137.0,19.0,4.3,3.0,Technical,Technic,Universal,,1984.0,,,163.0,0.0
8843-1,Fork-Lift Truck,,247.0,42.0,3.5,4.0,Technical,Technic,,,1984.0,,,269.0,0.0
8851-1,Excavator,,,68.0,3.9,11.0,Technical,Technic,,,1984.0,,,347.0,0.0
106-1,UNICEF Van,,,1493.0,5.0,1.0,Modern day,Town,Special,,1985.0,,,59.0,1.0
107-2,Mail Truck,,899.0,156.0,5.0,2.0,Modern day,Town,Special,,1985.0,,,31.0,1.0
1552-1,Maersk Truck and Trailer Unit,,,320.0,5.0,1.0,Modern day,Town,Special,,1985.0,,,352.0,1.0
1966-1,Car Repair Shop,,621.0,74.0,4.5,2.0,Modern day,Town,Special,,1985.0,,,296.0,2.0
1968-1,(Unnamed),,,96.0,3.9,7.0,Action/Adventure,Space,Classic,,1985.0,,,193.0,2.0
1972-1,Go-Kart,,67.0,15.0,5.0,1.0,Technical,Technic,,,1985.0,,,98.0,0.0
3624-1,Flower Car,,,15.0,,,Junior,Fabuland,,,1985.0,,,19.0,1.0
