set_no,name,price_store,price_new,price_used,rating_value,rating_votes,theme_group,theme,subtheme,year,volume,weight,piece_cnt,minifig_cnt,number_parts,total_parts,number_spare_parts,total_spare_parts,number_colors,1st_color,2nd_color,bars_ladders_and_fences_cnt_prts,baseplates_cnt_prts,belville_scala_and_fabuland_cnt_prts,bionicle_hero_factory_and_constraction_cnt_prts,bricks_cnt_prts,bricks_curved_cnt_prts,bricks_printed_cnt_prts,bricks_round_and_cones_cnt_prts,bricks_sloped_cnt_prts,bricks_special_cnt_prts,bricks_wedged_cnt_prts,clikits_cnt_prts,containers_cnt_prts,duplo_quatro_and_primo_cnt_prts,flags_signs_plastics_and_cloth_cnt_prts,ho_scale_cnt_prts,hinges_arms_and_turntables_cnt_prts,magnets_and_holders_cnt_prts,mechanical_cnt_prts,minifig_accessories_cnt_prts,minifigs_cnt_prts,non-buildable_figures_cnt_prts,non-lego_cnt_prts,other_cnt_prts,panels_cnt_prts,plants_and_animals_cnt_prts,plates_cnt_prts,plates_angled_cnt_prts,plates_round_and_dishes_cnt_prts,plates_special_cnt_prts,pneumatics_cnt_prts,power_functions_mindstorms_and_electric_cnt_prts,rock_cnt_prts,string_bands_and_reels_cnt_prts,supports_girders_and_cranes_cnt_prts,technic_axles_cnt_prts,technic_beams_cnt_prts,technic_beams_special_cnt_prts,technic_bricks_cnt_prts,technic_bushes_cnt_prts,technic_connectors_cnt_prts,technic_gears_cnt_prts,technic_panels_cnt_prts,technic_pins_cnt_prts,technic_special_cnt_prts,technic_steering_suspension_and_engine_cnt_prts,tiles_cnt_prts,tiles_printed_cnt_prts,tiles_special_cnt_prts,tools_cnt_prts,transportation_-_land_cnt_prts,transportation_-_sea_and_air_cnt_prts,tubes_and_hoses_cnt_prts,wheels_and_tyres_cnt_prts,windows_and_doors_cnt_prts,windscreens_and_fuselage_cnt_prts,znap_cnt_prts,bars_ladders_and_fences_tot_prts,baseplates_tot_prts,belville_scala_and_fabuland_tot_prts,bionicle_hero_factory_and_constraction_tot_prts,bricks_tot_prts,bricks_curved_tot_prts,bricks_printed_tot_prts,bricks_round_and_cones_tot_prts,bricks_sloped_tot_prts,bricks_special_tot_prts,bricks_wedged_tot_prts,clikits_tot_prts,containers_tot_prts,duplo_quatro_and_primo_tot_prts,flags_signs_plastics_and_cloth_tot_prts,ho_scale_tot_prts,hinges_arms_and_turntables_tot_prts,magnets_and_holders_tot_prts,mechanical_tot_prts,minifig_accessories_tot_prts,minifigs_tot_prts,non-buildable_figures_tot_prts,non-lego_tot_prts,other_tot_prts,panels_tot_prts,plants_and_animals_tot_prts,plates_tot_prts,plates_angled_tot_prts,plates_round_and_dishes_tot_prts,plates_special_tot_prts,pneumatics_tot_prts,power_functions_mindstorms_and_electric_tot_prts,rock_tot_prts,string_bands_and_reels_tot_prts,supports_girders_and_cranes_tot_prts,technic_axles_tot_prts,technic_beams_tot_prts,technic_beams_special_tot_prts,technic_bricks_tot_prts,technic_bushes_tot_prts,technic_connectors_tot_prts,technic_gears_tot_prts,technic_panels_tot_prts,technic_pins_tot_prts,technic_special_tot_prts,technic_steering_suspension_and_engine_tot_prts,tiles_tot_prts,tiles_printed_tot_prts,tiles_special_tot_prts,tools_tot_prts,transportation_-_land_tot_prts,transportation_-_sea_and_air_tot_prts,tubes_and_hoses_tot_prts,wheels_and_tyres_tot_prts,windows_and_doors_tot_prts,windscreens_and_fuselage_tot_prts,znap_tot_prts
6306-1,Road Signs,2.5,49.0,13.0,4.0,3.0,Modern day,Town,Accessories,1980,,,12.0,0,10,12,0,0,1,White,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6363-1,Auto Repair Shop,,744.0,29.0,4.6,5.0,Modern day,Town,Shops and Services,1980,,,141.0,1,59,140,0,0,9,Blue,Black,2,1,0,0,11,0,0,0,1,1,0,0,0,0,0,0,2,0,0,4,3,0,0,0,0,1,18,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,5,1,0,2,2,0,0,52,0,0,0,5,2,0,0,0,0,0,0,2,0,0,5,3,0,0,0,0,1,42,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,6,1,0
6364-1,Paramedic Unit,,272.0,35.0,5.0,5.0,Modern day,Town,Medical,1980,,,137.0,2,64,140,1,1,12,White,Red,1,1,0,0,12,0,0,1,3,1,0,0,0,0,0,0,2,0,0,1,7,0,0,0,0,4,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,5,1,0,1,1,0,0,42,0,0,1,5,4,0,0,0,0,0,0,4,0,0,2,8,0,0,0,0,6,39,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,6,9,1,0
6375-2,Exxon Gas Station,20.0,,72.0,4.8,5.0,Modern day,Town,Shops and Services,1980,,,267.0,3,95,272,1,2,12,White,Red,0,2,0,0,17,0,0,2,4,3,0,0,0,0,0,0,4,0,0,6,6,0,0,0,0,3,21,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,2,7,1,0,0,2,0,0,63,0,0,8,11,22,0,0,0,0,0,0,6,0,0,7,10,0,0,0,0,10,73,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,14,7,2,0
6390-1,Main Street,40.0,,260.0,4.6,5.0,Modern day,Town,Shops and Services,1980,,,591.0,8,156,614,2,7,11,Red,White,4,3,0,0,21,1,0,2,10,2,0,0,0,0,4,0,8,0,0,7,11,0,0,0,0,7,40,0,2,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,2,10,1,0,7,4,0,0,238,2,0,10,28,8,0,0,0,0,5,0,10,0,0,10,25,0,0,0,0,37,126,0,3,12,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,18,0,0,12,38,3,0
6609-1,Race Car,,33.0,3.0,4.3,3.0,Modern day,Town,Racing,1980,,,17.0,1,13,17,0,0,5,Black,White,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0
6627-1,Convertible,,88.0,6.0,5.0,7.0,Modern day,Town,Vehicles,1980,,,37.0,1,25,37,0,0,9,Black,Light Gray,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,2,1,0,1,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,6,2,1,0
6647-1,Highway Repair,,167.0,6.0,4.0,1.0,Modern day,Town,Maintenance,1980,,,55.0,1,34,55,1,1,10,Blue,Black,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,3,0,1,0,0,1,8,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,3,0,1,0,0,1,21,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,9,0,0,0
6648-2,Dump Truck,,149.0,7.0,4.0,2.0,Modern day,Town,Construction,1980,,,42.0,1,25,42,0,0,6,Black,Yellow,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,2,1,0
6678-1,Pneumatic Crane,,88.0,11.0,5.0,2.0,Modern day,Town,Construction,1980,,,60.0,1,38,61,0,0,7,Black,Yellow,1,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,12,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,1,0,1,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,4,0,0,5,3,0,0,0,0,0,22,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,6,0,1,0
6679-2,Exxon Tow Truck,,,18.0,4.5,2.0,Modern day,Town,Vehicles,1980,,,79.0,1,38,78,0,0,8,Black,Blue,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,4,1,0,2,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,38,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,12,4,2,0
6690-1,Snorkel Pumper,,163.0,10.0,4.5,2.0,Modern day,Town,Fire,1980,,,91.0,2,48,104,1,1,10,Black,Red,1,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,5,0,0,3,3,0,1,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,2,1,0,3,0,0,0,6,0,0,0,7,2,0,0,0,0,0,0,6,0,0,7,6,0,1,0,0,0,36,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,12,2,1,0
6821-1,Shovel Buggy,,219.0,6.0,3.7,3.0,Action/Adventure,Space,Classic,1980,,,28.0,1,23,30,2,2,4,Light Gray,Black,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0
6841-1,Mineral Detector,,294.0,7.0,4.5,2.0,Action/Adventure,Space,Classic,1980,,,44.0,1,24,44,0,0,6,Light Gray,Black,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,11,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,9,0,0,0
6861-1,X1 Patrol Craft,4.0,158.0,37.0,5.0,2.0,Action/Adventure,Space,Classic,1980,,,55.0,1,30,55,0,0,5,Light Gray,Red,1,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,3,0,0,14,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,10,4,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
6901-1,Mobile Lab,,8.0,64.0,3.8,5.0,Action/Adventure,Space,Classic,1980,,,135.0,2,52,139,0,0,7,Light Gray,Black,1,0,0,0,5,0,1,3,2,1,0,0,0,0,0,0,6,0,0,7,5,0,0,0,0,0,10,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,1,0,0,0,16,0,2,5,3,2,0,0,0,0,0,0,16,0,0,9,6,0,0,0,0,0,31,0,1,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,18,0,0,0
6970-1,Beta I Command Base,37.0,1117.0,133.0,5.0,9.0,Action/Adventure,Space,Classic,1980,,,264.0,4,105,273,3,3,11,Blue,Light Gray,4,1,0,0,12,0,3,6,8,0,0,0,0,0,1,0,6,0,0,10,5,0,1,0,0,0,19,4,2,6,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,4,1,0,2,4,0,0,11,2,0,0,71,0,4,19,12,0,0,0,0,0,1,0,9,0,0,16,12,0,1,0,0,0,42,6,3,17,0,0,0,0,12,0,0,0,6,0,0,0,0,3,0,0,3,0,0,0,9,2,0,6,6,0,0
7710-1,Push-Along Passenger Steam Train,,,107.0,4.2,5.0,Modern day,Trains,4.5/12 V,1980,,,447.0,5,87,432,0,0,10,Black,Light Gray,0,0,0,0,16,0,0,2,8,1,0,0,0,0,0,0,0,2,0,2,10,0,0,0,0,0,23,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,0,0,1,7,0,0,0,0,0,0,107,0,0,4,61,2,0,0,0,0,0,0,0,12,0,4,17,0,0,0,0,0,67,0,20,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,48,0,0,7,32,0,0
7720-1,Diesel Freight Train Set,,,116.0,4.0,3.0,Modern day,Trains,4.5/12 V,1980,,,425.0,3,106,427,0,0,10,Black,Red,2,0,0,0,13,0,0,0,6,4,0,0,0,0,0,0,2,2,0,2,4,0,0,0,0,0,29,0,2,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,11,0,0,9,0,0,0,69,0,0,0,35,15,0,0,0,0,0,0,2,12,0,3,9,0,0,0,0,0,96,0,12,56,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,18,32,0,0
7730-1,Electric Goods Train Set,,,314.0,4.5,2.0,Modern day,Trains,4.5/12 V,1980,,,512.0,2,116,519,0,0,10,Black,Light Gray,1,0,0,0,19,0,0,3,12,4,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,27,0,5,6,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,5,10,0,0,4,0,0,0,91,0,0,40,54,12,0,0,0,0,0,0,0,16,0,2,8,0,0,0,0,0,109,0,9,50,0,18,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,55,0,0,20,27,0,0
7740-1,Inter-City Passenger Train Set,,1681.0,265.0,5.0,4.0,Modern day,Trains,4.5/12 V,1980,,,786.0,10,120,785,1,1,12,Black,Light Gray,1,0,0,0,19,0,0,1,13,1,0,0,0,0,0,0,0,2,0,5,14,0,1,0,0,0,24,0,4,3,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8,0,0,3,9,1,0,1,0,0,0,176,0,0,2,91,2,0,0,0,0,0,0,0,12,0,7,35,0,1,0,0,0,153,0,26,53,0,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,5,0,67,0,0,19,78,2,0
7750-1,Steam Engine with Tender,,,348.0,4.7,3.0,Modern day,Trains,4.5/12 V,1980,,,263.0,2,95,268,1,1,11,Black,Red,0,0,0,0,12,0,0,4,7,2,0,0,0,0,0,0,2,2,0,3,3,0,1,0,0,0,22,0,3,7,0,6,0,0,0,1,0,0,2,1,1,0,0,1,0,0,4,0,1,0,1,0,1,3,5,0,0,0,0,0,0,56,0,0,8,23,4,0,0,0,0,0,0,2,8,0,3,6,0,1,0,0,0,59,0,5,18,0,11,0,0,0,2,0,0,11,2,2,0,0,2,0,0,13,0,2,0,4,0,4,12,10,0,0
7760-1,Diesel Shunter Locomotive,,1126.0,209.0,4.7,3.0,Modern day,Trains,4.5/12 V,1980,,,150.0,2,55,152,1,1,9,Blue,Black,0,0,0,0,7,0,0,0,2,3,0,0,0,0,0,0,0,2,0,4,4,0,1,0,0,0,16,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,6,0,0,0,0,0,0,40,0,0,0,8,10,0,0,0,0,0,0,0,4,0,4,6,0,1,0,0,0,44,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,8,12,0,0
7810-1,Push-Along Steam Engine,,252.0,66.0,3.0,1.0,Modern day,Trains,4.5/12 V,1980,,,97.0,1,44,97,1,1,6,Black,Red,0,0,0,0,10,0,0,2,8,1,0,0,0,0,0,0,0,2,0,1,3,0,1,0,0,0,8,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,32,0,0,4,19,2,0,0,0,0,0,0,0,4,0,1,3,0,1,0,0,0,13,0,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0
