set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,main_tag,set_type,packaging
1123-1,Ball and Socket Couplings & One Articulated Joint,Miscellaneous,Service Packs,,1980.0,8.0,0.0,,,16.0,6.0,,,,,Normal,Polybag
1125-1,Crane Grab Assembly,Miscellaneous,Service Packs,,1980.0,3.0,0.0,,,,11.0,,,,,Normal,Polybag
1129-2,Spread Bag,Miscellaneous,Service Packs,,1980.0,34.0,0.0,,,,18.0,7.0,,,,Normal,Polybag
1130-1,Plastic Folder for Building Instructions,Miscellaneous,Service Packs,,1980.0,1.0,0.0,,,14.0,,12.0,,,,Normal,Polybag
1591-1,Danone Delivery Truck,Modern day,Town,Special,1980.0,40.0,0.0,,,,129.0,28.0,,,,Normal,Box
1592-1,Town Square - Castle Scene,Modern day,Town,Classic,1980.0,471.0,11.0,,/minifigs/inset-1592-1,,1168.0,235.0,4.8,4.0,,Normal,Box
1651-2,Maersk Line Container Lorry,Modern day,Town,Special,1980.0,305.0,1.0,,/minifigs/inset-1651-2,,,444.0,5.0,1.0,,Normal,Box
2053-1,Rock 'n' Roll Pull-Toy,Pre-school,Duplo,,1980.0,4.0,1.0,,/minifigs/inset-2053-1,,,,,,,Normal,
2056-1,Rock 'n' Rattle Pull-Toy,Pre-school,Duplo,,1980.0,6.0,1.0,,/minifigs/inset-2056-1,,,,,,,Normal,
2620-1,Sports Car,Pre-school,Duplo,,1980.0,2.0,1.0,,/minifigs/inset-2620-1,,,10.0,,,,Normal,
2623-1,Delivery Van,Pre-school,Duplo,,1980.0,6.0,1.0,,/minifigs/inset-2623-1,,,10.0,,,,Normal,
2625-1,Car with Boat and Trailer,Pre-school,Duplo,,1980.0,6.0,1.0,,/minifigs/inset-2625-1,,28.0,14.0,,,,Normal,
2627-1,Pony Trailer,Pre-school,Duplo,,1980.0,5.0,1.0,,/minifigs/inset-2627-1,,,15.0,,,,Normal,
2630-1,Family Room,Pre-school,Duplo,,1980.0,9.0,3.0,,/minifigs/inset-2630-1,13.25,,,,,,Normal,
2640-1,Grocery Store,Pre-school,Duplo,,1980.0,23.0,2.0,,/minifigs/inset-2640-1,,,34.0,,,,Normal,
2643-2,Playbox,Pre-school,Duplo,,1980.0,1.0,0.0,,,,,,,,,Normal,
2645-1,Nursery School,Pre-school,Duplo,,1980.0,29.0,6.0,,/minifigs/inset-2645-1,,,42.0,,,,Normal,
2650-1,Farm,Pre-school,Duplo,,1980.0,60.0,5.0,,/minifigs/inset-2650-1,14.75,,85.0,,,,Normal,
3602-1,Pram - Lisa Lamb Goes Walking,Junior,Fabuland,,1980.0,3.0,1.0,,/minifigs/inset-3602-1,,,8.0,,,,Normal,
3604-1,Mark Monkey with his Fruit Stall,Junior,Fabuland,,1980.0,3.0,1.0,,/minifigs/inset-3604-1,,18.0,7.0,3.0,1.0,,Normal,
3605-1,Ricky Racoon and his Scooter,Junior,Fabuland,,1980.0,1.0,1.0,,/minifigs/inset-3605-1,,18.0,4.0,,,,Normal,
3634-1,Charlie Crow's Carry-All,Junior,Fabuland,,1980.0,17.0,1.0,,/minifigs/inset-3634-1,,90.0,14.0,3.0,1.0,,Normal,
3665-1,Harry Horse and Clara Cow's Ice Cream Shoppe,Junior,Fabuland,,1980.0,36.0,2.0,,/minifigs/inset-3665-1,,,45.0,4.0,1.0,,Normal,
4306-1,Rings,Girls,Scala,Jewellery,1980.0,15.0,0.0,,,,,,,,,Normal,
4307-1,Rings,Girls,Scala,Jewellery,1980.0,15.0,0.0,,,,,,,,,Normal,
4336-1,Picture Frame and Mirror,Girls,Scala,Jewellery,1980.0,52.0,0.0,,,,,,,,,Normal,
5233-1,Bedroom,Vintage themes,Homemaker,,1980.0,26.0,1.0,,/minifigs/inset-5233-1,4.5,4.0,,5.0,1.0,,Normal,
6000-1,LEGOLAND Idea Book,Miscellaneous,Books,LEGO,1980.0,,0.0,,,2.0,,,4.9,10.0,,Book,
6304-1,"Road Plates, Cross",Modern day,Town,Accessories,1980.0,2.0,0.0,,,,22.0,11.0,4.0,1.0,,Normal,Shrink-wrapped
6305-1,Trees and Flowers,Modern day,Town,Accessories,1980.0,12.0,0.0,,,3.75,28.0,10.0,4.3,4.0,,Normal,Box
6306-1,Road Signs,Modern day,Town,Accessories,1980.0,12.0,0.0,,,2.5,49.0,13.0,4.0,3.0,,Normal,Box
6363-1,Auto Repair Shop,Modern day,Town,Shops and Services,1980.0,141.0,1.0,,/minifigs/inset-6363-1,,744.0,30.0,4.6,5.0,,Normal,Box
6364-1,Paramedic Unit,Modern day,Town,Medical,1980.0,137.0,2.0,,/minifigs/inset-6364-1,,272.0,35.0,5.0,5.0,,Normal,Box
6375-2,Exxon Gas Station,Modern day,Town,Shops and Services,1980.0,267.0,3.0,,/minifigs/inset-6375-2,20.0,,73.0,4.8,5.0,,Normal,Box
6390-1,Main Street,Modern day,Town,Shops and Services,1980.0,591.0,8.0,,/minifigs/inset-6390-1,40.0,,250.0,4.6,5.0,,Normal,Box
6609-1,Race Car,Modern day,Town,Racing,1980.0,17.0,1.0,,/minifigs/inset-6609-1,,33.0,3.0,4.3,3.0,,Normal,Box
6627-1,Convertible,Modern day,Town,Vehicles,1980.0,37.0,1.0,,/minifigs/inset-6627-1,,88.0,6.0,5.0,7.0,,Normal,Box
6647-1,Highway Repair,Modern day,Town,Maintenance,1980.0,55.0,1.0,,/minifigs/inset-6647-1,,167.0,7.0,4.0,1.0,,Normal,Box
6648-2,Dump Truck,Modern day,Town,Construction,1980.0,42.0,1.0,,/minifigs/inset-6648-2,,149.0,11.0,4.0,2.0,,Normal,Box
6678-1,Pneumatic Crane,Modern day,Town,Construction,1980.0,60.0,1.0,,/minifigs/inset-6678-1,,88.0,11.0,5.0,2.0,,Normal,Box
6679-2,Exxon Tow Truck,Modern day,Town,Vehicles,1980.0,79.0,1.0,,/minifigs/inset-6679-2,,,18.0,4.5,2.0,,Normal,Box
6690-1,Snorkel Pumper,Modern day,Town,Fire,1980.0,91.0,2.0,,/minifigs/inset-6690-1,,163.0,12.0,4.5,2.0,,Normal,Box
6821-1,Shovel Buggy,Action/Adventure,Space,Classic,1980.0,28.0,1.0,,/minifigs/inset-6821-1,,120.0,7.0,3.7,3.0,,Normal,
6841-1,Mineral Detector,Action/Adventure,Space,Classic,1980.0,44.0,1.0,,/minifigs/inset-6841-1,,294.0,7.0,4.5,2.0,,Normal,
6861-1,X1 Patrol Craft,Action/Adventure,Space,Classic,1980.0,55.0,1.0,,/minifigs/inset-6861-1,4.0,158.0,36.0,5.0,2.0,,Normal,
6901-1,Mobile Lab,Action/Adventure,Space,Classic,1980.0,135.0,2.0,,/minifigs/inset-6901-1,,8.0,66.0,3.8,5.0,,Normal,
6970-1,Beta I Command Base,Action/Adventure,Space,Classic,1980.0,264.0,4.0,,/minifigs/inset-6970-1,37.0,1117.0,123.0,5.0,9.0,,Normal,
7710-1,Push-Along Passenger Steam Train,Modern day,Trains,4.5/12 V,1980.0,447.0,5.0,,/minifigs/inset-7710-1,,,89.0,4.2,5.0,,Normal,
7720-1,Diesel Freight Train Set,Modern day,Trains,4.5/12 V,1980.0,425.0,3.0,,/minifigs/inset-7720-1,,,116.0,4.0,3.0,,Normal,
7730-1,Electric Goods Train Set,Modern day,Trains,4.5/12 V,1980.0,512.0,2.0,,/minifigs/inset-7730-1,,,314.0,4.5,2.0,,Normal,
7740-1,Inter-City Passenger Train Set,Modern day,Trains,4.5/12 V,1980.0,786.0,10.0,,/minifigs/inset-7740-1,,1681.0,258.0,5.0,4.0,,Normal,
7750-1,Steam Engine with Tender,Modern day,Trains,4.5/12 V,1980.0,263.0,2.0,,/minifigs/inset-7750-1,,,348.0,4.7,3.0,,Normal,
7760-1,Diesel Shunter Locomotive,Modern day,Trains,4.5/12 V,1980.0,150.0,2.0,,/minifigs/inset-7760-1,,1126.0,209.0,4.7,3.0,,Normal,
7810-1,Push-Along Steam Engine,Modern day,Trains,4.5/12 V,1980.0,97.0,1.0,,/minifigs/inset-7810-1,,252.0,66.0,3.0,1.0,,Normal,
7814-1,Crane Wagon,Modern day,Trains,4.5/12 V,1980.0,113.0,2.0,,/minifigs/inset-7814-1,,,53.0,5.0,1.0,,Normal,
7816-1,Shell Tanker Wagon,Modern day,Trains,4.5/12 V,1980.0,120.0,1.0,,/minifigs/inset-7816-1,,,43.0,2.0,2.0,,Normal,
7818-1,Passenger Coach,Modern day,Trains,4.5/12 V,1980.0,114.0,2.0,,/minifigs/inset-7818-1,,179.0,38.0,4.7,3.0,,Normal,
7820-1,Mail Van,Modern day,Trains,4.5/12 V,1980.0,212.0,2.0,,/minifigs/inset-7820-1,,308.0,81.0,4.0,3.0,,Normal,
7822-1,Railway Station,Modern day,Trains,4.5/12 V,1980.0,384.0,3.0,,/minifigs/inset-7822-1,,,95.0,4.5,2.0,,Normal,
7834-1,Level Crossing,Modern day,Trains,4.5/12 V,1980.0,91.0,1.0,,/minifigs/inset-7834-1,,169.0,43.0,3.0,2.0,,Normal,
7850-1,8 Straight Rails Grey 4.5 V,Modern day,Trains,4.5/12 V,1980.0,32.0,0.0,,,,25.0,16.0,,,,Normal,
7851-1,8 Curved Rails Grey 4.5 V,Modern day,Trains,4.5/12 V,1980.0,32.0,0.0,,,,12.0,9.0,5.0,1.0,,Normal,
7852-1,Left and Right Points Manual Grey 4.5 V,Modern day,Trains,4.5/12 V,1980.0,14.0,0.0,/inventories/7852-1,,,8.0,7.0,5.0,2.0,,Normal,
7853-1,"Crossing, Grey 4.5 V",Modern day,Trains,4.5/12 V,1980.0,5.0,0.0,,,,8.0,7.0,,,,Normal,
7854-1,8 Straight Electric Rails Grey 12 V,Modern day,Trains,4.5/12 V,1980.0,8.0,0.0,,,,24.0,15.0,4.0,1.0,,Normal,
7855-1,8 Curved Electric Rails Grey 12 V,Modern day,Trains,4.5/12 V,1980.0,8.0,0.0,,,,11.0,7.0,,,,Normal,
7856-1,Left and Right Manual Points with Electric Rails Grey 12 V,Modern day,Trains,4.5/12 V,1980.0,16.0,0.0,/inventories/7856-1,,,44.0,36.0,,,,Normal,
7857-1,"Crossing, Electric Rails Grey 12 V",Modern day,Trains,4.5/12 V,1980.0,5.0,0.0,,,,12.0,8.0,,,,Normal,
7858-1,Remote Controlled Points Right 12 V,Modern day,Trains,4.5/12 V,1980.0,12.0,0.0,/inventories/7858-1,,,73.0,40.0,,,,Normal,Box
7859-1,Remote Controlled Points Left 12 V,Modern day,Trains,4.5/12 V,1980.0,12.0,0.0,/inventories/7859-1,,,91.0,41.0,,,,Normal,
7860-1,Remote Controlled Signal 12 V,Modern day,Trains,4.5/12 V,1980.0,24.0,0.0,/inventories/7860-1,,,138.0,75.0,4.5,2.0,,Normal,
7861-1,Lighting Set Electric 12 V,Modern day,Trains,4.5/12 V,1980.0,28.0,0.0,,,,46.0,24.0,4.0,1.0,,Normal,
7863-1,Remote Controlled Point Motor 12 V,Modern day,Trains,4.5/12 V,1980.0,7.0,0.0,/inventories/7863-1,,,52.0,42.0,3.0,1.0,,Normal,
7864-1,Transformer / Speed Controller 12 V,Modern day,Trains,4.5/12 V,1980.0,33.0,0.0,,,,73.0,27.0,3.5,2.0,,Normal,
7865-1,Motor Replacement Unit for Battery or Motor-Less Trains 12 V,Modern day,Trains,4.5/12 V,1980.0,19.0,0.0,,,,188.0,92.0,4.0,1.0,,Normal,
8857-2,Motorcycles,Technical,Technic,,1980.0,377.0,0.0,,,49.5,,79.0,,,,Normal,Box
8858-2,Auto Engines,Technical,Technic,,1980.0,460.0,0.0,,,69.0,,95.0,5.0,2.0,,Normal,Box
8860-1,Car Chassis,Technical,Technic,,1980.0,668.0,0.0,,,59.0,661.0,94.0,4.7,19.0,,Normal,Box
8888-1,Ideas Book,Miscellaneous,Books,LEGO,1980.0,,0.0,,,,,,5.0,1.0,,Book,
KCP03-1,WWF Female Minifigure Key Chain,Miscellaneous,Gear,Key Chains/Promotional,1980.0,,0.0,,,,,,,,,Gear,Tag
1-11,Basic Souvenir Box,Basic,Basic,,1981.0,38.0,0.0,,,,,,,,,Normal,
226-2,Building Ideas Book,Miscellaneous,Books,LEGO,1981.0,,0.0,,,2.4,,,3.0,1.0,,Book,
322-1,Basic Set,Basic,Basic,,1981.0,82.0,0.0,,,6.0,,,,,,Normal,
333-1,Basic Set,Basic,Basic,,1981.0,98.0,2.0,,/minifigs/inset-333-1,10.0,47.0,4.0,,,,Normal,
355-2,Universal Building Set,Basic,Basic,,1981.0,181.0,2.0,,/minifigs/inset-355-2,18.5,76.0,7.0,,,,Normal,
366-1,Basic Building Set,Basic,Basic,,1981.0,184.0,2.0,,/minifigs/inset-366-1,,37.0,,,,,Normal,Box
544-1,"Basic Building Set, 5+",Basic,Basic,,1981.0,141.0,1.0,,/minifigs/inset-544-1,9.5,,10.0,5.0,1.0,,Normal,
555-2,"Basic Building Set, 5+",Basic,Basic,,1981.0,246.0,2.0,,/minifigs/inset-555-2,,85.0,15.0,5.0,4.0,,Normal,
566-1,"Basic Building Set, 5+",Basic,Basic,,1981.0,288.0,2.0,,/minifigs/inset-566-1,26.0,74.0,45.0,5.0,1.0,,Normal,
577-1,"Basic Building Set, 5+",Basic,Basic,,1981.0,384.0,2.0,,/minifigs/inset-577-1,38.0,,52.0,5.0,1.0,,Normal,
890-1,Wind-Up Motor,Basic,Basic,Supplementaries,1981.0,10.0,0.0,,,,20.0,6.0,2.7,3.0,,Normal,
1060-1,Road Plates and Signs,Educational,Dacta,,1981.0,30.0,0.0,,,,119.0,141.0,,,,Normal,
1064-1,Dacta Buildings,Educational,Dacta,,1981.0,,6.0,,/minifigs/inset-1064-1,,,,,,,Normal,
1134-1,Battery Wagon,Miscellaneous,Service Packs,Trains,1981.0,4.0,0.0,,,,,,,,,Normal,
1135-1, Battery Cable Kit,Miscellaneous,Service Packs,Trains,1981.0,13.0,0.0,,,,26.0,,,,,Normal,
1136-1,"Buffers, Magnetic Couplers",Miscellaneous,Service Packs,Trains,1981.0,6.0,0.0,,,,17.0,6.0,,,,Normal,
1137-1,Train Couplings,Miscellaneous,Service Packs,Trains,1981.0,4.0,0.0,,,,15.0,,,,,Normal,
1138-1,Replacement Rubber Wheel Treads for Trains,Miscellaneous,Service Packs,Trains,1981.0,8.0,0.0,,,,19.0,,,,,Normal,
1139-1,Motor-Mount Plate with Magnetic Couplers,Miscellaneous,Service Packs,Trains,1981.0,5.0,0.0,,,,23.0,,,,,Normal,
1140-1,12V Light Bricks,Miscellaneous,Service Packs,Trains,1981.0,2.0,0.0,,,,21.0,5.0,,,,Normal,
1141-1,Wheel Bricks with Small Red Train Wheels,Miscellaneous,Service Packs,Trains,1981.0,2.0,0.0,,,,9.0,,,,,Normal,
1142-1,Wheel Bricks with Small Black Train-Wheels,Miscellaneous,Service Packs,Trains,1981.0,2.0,0.0,,,,18.0,,,,,Normal,
1143-1,Wheel Bricks with Large Red Train Wheels,Miscellaneous,Service Packs,Trains,1981.0,2.0,0.0,,,,33.0,,,,,Normal,
1144-1,Train Baseplate,Miscellaneous,Service Packs,Trains,1981.0,2.0,0.0,,,,29.0,,,,,Normal,
1145-1, Bogie Plate,Miscellaneous,Service Packs,Trains,1981.0,2.0,0.0,,,,9.0,,,,,Normal,
1146-1,"Pushrods, Cylinder Housings",Miscellaneous,Service Packs,Trains,1981.0,6.0,0.0,,,,24.0,,,,,Normal,
1147-1,"Light Prisms & Holder, Red/Yellow Light Covers",Miscellaneous,Service Packs,Trains,1981.0,7.0,0.0,,,,4.0,,,,,Normal,
1581-1,Silja Line Ferry,Miscellaneous,Promotional,Ferries,1981.0,182.0,0.0,,,,,,,,,Normal,Box
2330-1,Basic Set,Pre-school,Duplo,,1981.0,9.0,1.0,,/minifigs/inset-2330-1,,,,,,,Normal,
2340-1,Basic Set,Pre-school,Duplo,,1981.0,17.0,1.0,,/minifigs/inset-2340-1,,,,,,,Normal,
2350-1,Basic Building Set,Pre-school,Duplo,,1981.0,22.0,2.0,,/minifigs/inset-2350-1,,,15.0,,,,Normal,Box
2360-1,Basic Set,Pre-school,Duplo,,1981.0,32.0,3.0,,/minifigs/inset-2360-1,,,,,,,Normal,
2370-1,Basic Set,Pre-school,Duplo,,1981.0,45.0,4.0,,/minifigs/inset-2370-1,,,,,,,Normal,
2624-1,Helicopter,Pre-school,Duplo,,1981.0,2.0,1.0,,/minifigs/inset-2624-1,,,10.0,,,,Normal,
2644-1,Service Station,Pre-school,Duplo,,1981.0,14.0,2.0,,/minifigs/inset-2644-1,,,,,,,Normal,
3601-1,Elton Elephant,Junior,Fabuland,,1981.0,6.0,1.0,,/minifigs/inset-3601-1,,,8.0,3.0,1.0,,Normal,
3603-1,Boris Bulldog and Mailbox,Junior,Fabuland,,1981.0,5.0,1.0,,/minifigs/inset-3603-1,,,6.0,3.0,1.0,,Normal,
3615-1,Percy Pig,Junior,Fabuland,,1981.0,4.0,1.0,,/minifigs/inset-3615-1,,,7.0,,,,Normal,
3628-1,Perry Panda and Chester Chimp,Junior,Fabuland,,1981.0,3.0,2.0,,/minifigs/inset-3628-1,,25.0,10.0,4.0,1.0,,Normal,
3629-1,Barney Bear,Junior,Fabuland,,1981.0,16.0,1.0,,/minifigs/inset-3629-1,,52.0,9.0,,,,Normal,
3635-1,Bonnie Bunny's Camper,Junior,Fabuland,,1981.0,25.0,1.0,,/minifigs/inset-3635-1,,125.0,16.0,3.5,2.0,,Normal,
6075-2,Castle,Historical,Castle,Classic,1981.0,767.0,14.0,,/minifigs/inset-6075-2,48.0,,345.0,5.0,1.0,,Normal,
6077-1,Knight's Procession,Historical,Castle,Classic,1981.0,48.0,6.0,,/minifigs/inset-6077-1,5.0,,43.0,4.0,1.0,,Normal,Box
6083-1,Knight's Joust,Historical,Castle,Classic,1981.0,211.0,6.0,,/minifigs/inset-6083-1,16.0,,195.0,,,,Normal,Box
6365-1,Summer Cottage,Modern day,Town,Leisure,1981.0,144.0,1.0,,/minifigs/inset-6365-1,,211.0,32.0,4.7,6.0,,Normal,Box
6382-1,Fire Station,Modern day,Town,Fire,1981.0,390.0,4.0,,/minifigs/inset-6382-1,25.0,417.0,53.0,4.7,10.0,,Normal,Box
6383-1,Public Works Center,Modern day,Town,Maintenance,1981.0,421.0,4.0,,/minifigs/inset-6383-1,30.0,799.0,266.0,5.0,6.0,,Normal,Box
6600-1,Police Patrol,Modern day,Town,Classic,1981.0,23.0,1.0,,/minifigs/inset-6600-1,,,20.0,3.5,2.0,,Normal,Box
6602-1,Fire Unit I,Modern day,Town,Classic,1981.0,29.0,1.0,,/minifigs/inset-6602-1,,,6.0,2.0,1.0,,Normal,Box
6610-1,Gas Pumps,Modern day,Town,Shops and Services,1981.0,29.0,1.0,,/minifigs/inset-6610-1,,84.0,8.0,4.3,3.0,,Normal,Box
6611-1,Fire Chief's Car,Modern day,Town,Fire,1981.0,20.0,1.0,,/minifigs/inset-6611-1,,88.0,3.0,4.0,3.0,,Normal,Box
6626-1,Rescue Helicopter,Modern day,Town,Classic,1981.0,37.0,0.0,,,,,14.0,,,,Normal,Box
6628-1,Shell Tow Truck,Modern day,Town,Vehicles,1981.0,38.0,0.0,,,,53.0,5.0,3.8,5.0,,Normal,Box
6629-1,Ambulance,Modern day,Town,Medical,1981.0,39.0,1.0,,/minifigs/inset-6629-1,,110.0,5.0,4.0,2.0,,Normal,Box
6630-1,Bucket Loader,Modern day,Town,Construction,1981.0,34.0,1.0,,/minifigs/inset-6630-1,,125.0,5.0,4.3,3.0,,Normal,Box
6650-1,Fire and Rescue Van,Modern day,Town,Fire,1981.0,46.0,1.0,,/minifigs/inset-6650-1,,127.0,7.0,4.0,2.0,,Normal,Box
6680-1,Ambulance,Modern day,Town,Medical,1981.0,63.0,2.0,,/minifigs/inset-6680-1,,148.0,13.0,5.0,2.0,,Normal,Box
6681-1,Police Van,Modern day,Town,Police,1981.0,82.0,1.0,,/minifigs/inset-6681-1,,500.0,9.0,4.7,3.0,,Normal,Box
6691-1,Red Cross Helicopter,Modern day,Town,Medical,1981.0,107.0,2.0,,/minifigs/inset-6691-1,,78.0,13.0,4.3,3.0,,Normal,Box
6801-1,Moon Buggy,Action/Adventure,Space,Classic,1981.0,22.0,1.0,,/minifigs/inset-6801-1,,70.0,9.0,4.7,6.0,,Normal,
6822-1,Space Digger,Action/Adventure,Space,Classic,1981.0,33.0,1.0,,/minifigs/inset-6822-1,,52.0,6.0,3.7,6.0,,Normal,
6842-1,Small Space Shuttle Craft,Action/Adventure,Space,Classic,1981.0,46.0,1.0,,/minifigs/inset-6842-1,,113.0,9.0,3.6,5.0,,Normal,
6870-1,Space Probe Launcher,Action/Adventure,Space,Classic,1981.0,60.0,1.0,,/minifigs/inset-6870-1,,112.0,10.0,3.3,6.0,,Normal,Box
6927-1,All-Terrain Vehicle,Action/Adventure,Space,Classic,1981.0,170.0,2.0,,/minifigs/inset-6927-1,14.5,299.0,42.0,4.5,8.0,,Normal,
6929-1,Star Fleet Voyager,Action/Adventure,Space,Classic,1981.0,242.0,1.0,,/minifigs/inset-6929-1,15.0,650.0,62.0,4.8,12.0,,Normal,
7725-1,Electric Passenger Train Set,Modern day,Trains,4.5/12 V,1981.0,485.0,1.0,,/minifigs/inset-7725-1,70.0,986.0,181.0,4.4,5.0,,Normal,
7777-1,Trains Ideas Book,Miscellaneous,Books,LEGO,1981.0,,0.0,,,,,,4.5,2.0,,Book,
7862-1,Remote Controlled Decoupling and Signal 12 V,Modern day,Trains,4.5/12 V,1981.0,16.0,0.0,,,,158.0,90.0,3.0,1.0,,Normal,
8710-1,Technical Elements,Technical,Technic,Supplementary,1981.0,124.0,0.0,/inventories/8710-1,,,49.0,34.0,4.0,1.0,,Normal,Box
8844-1,Helicopter,Technical,Technic,,1981.0,316.0,0.0,,,,131.0,27.0,4.3,3.0,,Normal,Box
8845-1,Dune Buggy,Technical,Technic,,1981.0,174.0,0.0,,,20.0,295.0,20.0,3.6,8.0,,Normal,Box
8848-1,Power Truck,Technical,Technic,,1981.0,398.0,0.0,,,,425.0,49.0,4.2,6.0,,Normal,Box
8859-1,Tractor,Technical,Technic,,1981.0,610.0,0.0,,,,,105.0,3.7,6.0,,Normal,Box
599-1,"Basic Building Set, 5+",Basic,Basic,,1982.0,748.0,3.0,,/minifigs/inset-599-1,,564.0,,,,,Normal,
