set_no,name,theme_group,theme,subtheme,year,dimensions,weight,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
7196-1,Chauchilla Cemetery Battle,Licensed,Indiana Jones,Kingdom of the Crystal Skull,2009,35.4 x 19.1 x 5.9 cm (13.9 x 7.5 x 2.3 in),0.34Kg (0.75 lb),187,5,/inventories/7196-1,/minifigs/inset-7196-1,"£18.99, $19.99","New: $58, Used: $31",4.1,19,"Cemetery Warrior, Indiana Jones, Mutt Williams, Motorcycle, Spooky, Spider, Skeletons, Graveyard",Normal,Box,
7197-1,Venice Canal Chase,Licensed,Indiana Jones,Last Crusade,2009,38.2 x 26.2 x 7.1 cm (15 x 10.3 x 2.8 in),0.65Kg (1.43 lb),420,4,/inventories/7197-1,/minifigs/inset-7197-1,"£29.99, $39.99","New: $65, Used: $41",4.7,15,"Brother of the Cruciform Sword, Elsa Schneider, Indiana Jones, Kazim, Boat, Italy",Normal,Box,
7198-1,Fighter Plane Attack,Licensed,Indiana Jones,Last Crusade,2009,48 x 28.2 x 6.1 cm (18.9 x 11.1 x 2.4 in),0.79Kg (1.74 lb),384,3,/inventories/7198-1,/minifigs/inset-7198-1,"£47.99, $49.99","New: $110, Used: $58",4.3,8,"German Soldier, Henry Jones Sr., Indiana Jones, Aircraft, Biplane, Military",Normal,Box,
7199-1,The Temple of Doom,Licensed,Indiana Jones,Temple of Doom,2009,48 x 37.8 x 9.4 cm (18.9 x 14.9 x 3.7 in),1.46Kg (3.22 lb),652,6,/inventories/7199-1,/minifigs/inset-7199-1,"£74.99, $89.99","New: $231, Used: $117",4.4,12,"Indiana Jones, Mola Ram, Short Round, Temple Guard, Willie Scott, Spooky, Cart, Temple, Cave, Underground, Mining, Asia",Normal,Box,
7614-1,Elephant Bucket,Pre-school,Duplo,,2009,,,,2,,/minifigs/inset-7614-1,,"New: Not known, Used: Not known",,,"Tiger, Elephant",Normal,,
7615-1,Basic Blue Bucket,Basic,Bricks and More,,2009,,,465,2,/inventories/7615-1,/minifigs/inset-7615-1,,"New: Not known, Used: Not known",,,"House, Car, 4X4",Normal,Bucket,
7616-1,Basic Red Bucket,Basic,Bricks and More,,2009,,,427,0,/inventories/7616-1,,,"New: Not known, Used: Not known",,,"House, Dog, Car, Duck",Normal,Bucket,
7618-1,Fun Zoo,Pre-school,Duplo,,2009,,,,1,,/minifigs/inset-7618-1,,"New: Not known, Used: Not known",,,,Normal,,
7630-1,Front-End Loader,Modern day,City,Construction,2009,26.2 x 14.1 x 6.1 cm (10.3 x 5.6 x 2.4 in),0.2Kg (0.44 lb),108,1,/inventories/7630-1,/minifigs/inset-7630-1,"£9.99, $12.99","New: $28, Used: $12",4.5,15,Construction,Normal,Box,Included in 66328-1 66331-1 
7631-1,Dump Truck,Modern day,City,Construction,2009,35.4 x 19.1 x 5.9 cm (13.9 x 7.5 x 2.3 in),0.4Kg (0.88 lb),189,1,/inventories/7631-1,/minifigs/inset-7631-1,"£14.99, $19.99","New: $49, Used: $14",4.5,11,Construction,Normal,Box,
7632-1,Crawler Crane,Modern day,City,Construction,2009,48 x 37.8 x 9.4 cm (18.9 x 14.9 x 3.7 in),1.13Kg (2.49 lb),481,2,/inventories/7632-1,/minifigs/inset-7632-1,"£44.99, $59.99","New: $104, Used: $59",4.4,9,"Crane, Construction",Normal,Box,Included in 66330-1 
7633-1,Construction Site,Modern day,City,Construction,2009,58.2 x 37.8 x 8.7 cm (22.9 x 14.9 x 3.4 in),1.89Kg (4.16 lb),898,5,/inventories/7633-1,/minifigs/inset-7633-1,"£69.99, $99.99","New: $208, Used: $89",4.8,9,"Truck, Shop, Crane, Construction, Trailer, Cargo, Excavator",Normal,Box,Included in 66331-1 
7634-1,Tractor,Modern day,City,Farm,2009,,,78,1,/inventories/7634-1,/minifigs/inset-7634-1,"£8.49, $12.99","New: $35, Used: $14",4.8,16,"Tractor, Farm",Normal,Box,Included in 66345-1 66358-1 
7635-1,4WD with Horse Trailer,Modern day,City,Farm,2009,,,176,2,/inventories/7635-1,/minifigs/inset-7635-1,"£14.99, $17.48","New: $39, Used: $19",4.4,15,"Trailer, 4X4",Normal,Box,Included in 66358-1 
7636-1,Combine Harvester,Modern day,City,Farm,2009,,,360,1,/inventories/7636-1,/minifigs/inset-7636-1,"£34.99, $44.99","New: $175, Used: $71",4.1,9,Farm,Normal,Box,
7637-1,Farm,Modern day,City,Farm,2009,,,609,3,/inventories/7637-1,/minifigs/inset-7637-1,"£61.99, $89.99","New: $170, Used: $109",4.3,10,"Baseplate, Trailer, Tractor, Cart, Farm, Cow, Lawnmower",Normal,Box,
7638-1,Tow Truck,Modern day,City,Traffic,2009,26.2 x 14.1 x 4.8 cm (10.3 x 5.6 x 1.9 in),0.21Kg (0.46 lb),129,1,/inventories/7638-1,/minifigs/inset-7638-1,"£9.99, $12.99","New: $22, Used: $9",4.2,13,Truck,Normal,Box,Included in 66326-1 66345-1 
7639-1,Camper,Modern day,City,Traffic,2009,26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in),0.32Kg (0.7 lb),165,2,/inventories/7639-1,/minifigs/inset-7639-1,"£14.99, $16.99","New: $36, Used: $12",4.7,43,"Camping, Fish, Bicycle, Bbq, Tv, Surfing",Normal,Box,
7641-1,City Corner,Modern day,City,Town,2009,54 x 28.2 x 9.1 cm (21.3 x 11.1 x 3.6 in),1.04Kg (2.29 lb),483,5,/inventories/7641-1,/minifigs/inset-7641-1,"£49.99, $59.99","New: $85, Used: $38",4.7,20,"Baseplate, Octan, Shop, Camera, Restaurant, Lamppost, Bicycle, Kitchen, Bus, Pizza, Cargo, Skating, Pizzeria",Normal,Box,Re-released as 60031-1 
7642-1,Garage,Modern day,City,Traffic,2009,58.2 x 37.8 x 10.3 cm (22.9 x 14.9 x 4.1 in),1.88Kg (4.14 lb),953,4,/inventories/7642-1,/minifigs/inset-7642-1,"£69.99, $99.99","New: $178, Used: $86",4.4,13,"Truck, Baseplate, Octan, Workshop",Normal,Box,
7643-1,Air-Show Plane,Modern day,City,Airport,2009,,,115,2,/inventories/7643-1,/minifigs/inset-7643-1,,"New: $28, Used: $11",4.0,4,"Aircraft, Airplane",Normal,Box,Promotional release with airlines including KLM Royal Dutch Airlines.
7682-1,Shanghai Chase,Licensed,Indiana Jones,Temple of Doom,2009,38.2 x 26.2 x 5.7 cm (15 x 10.3 x 2.2 in),0.47Kg (1.04 lb),244,5,/inventories/7682-1,/minifigs/inset-7682-1,"£26.45, $29.99","New: $105, Used: $53",4.6,31,"Indiana Jones, Shanghai Gangster, Short Round, Willie Scott, Car, Van, China, Asia",Normal,Box,
7683-1,Fight on the Flying Wing,Licensed,Indiana Jones,Raiders of the Lost Ark,2009,48 x 28.2 x 7.4 cm (18.9 x 11.1 x 2.9 in),0.82Kg (1.81 lb),376,4,/inventories/7683-1,/minifigs/inset-7683-1,"£41.09, $49.99","New: $159, Used: $89",4.3,18,"German Mechanic, German Soldier, Indiana Jones, Marion Ravenwood, Aircraft, Truck, Egypt, Military",Normal,Box,
7685-1,Dozer,Modern day,City,Construction,2009,48 x 28.2 x 7.4 cm (18.9 x 11.1 x 2.9 in),0.82Kg (1.81 lb),352,1,/inventories/7685-1,/minifigs/inset-7685-1,"£19.55, $39.99","New: $54, Used: $26",4.3,16,"Construction, Bulldozer",Normal,Box,
7686-1,Helicopter Transporter,Modern day,City,Traffic,2009,48 x 28.2 x 7.4 cm (18.9 x 11.1 x 2.9 in),0.71Kg (1.56 lb),377,3,/inventories/7686-1,/minifigs/inset-7686-1,"£19.55, $39.99","New: $66, Used: $23",4.4,7,"Aircraft, Helicopter, Truck, Motorcycle, Octan, Trailer, Camera",Normal,Box,
7687-1,City Advent Calendar,Modern day,City,Seasonal,2009,38.2 x 26.2 x 7.1 cm (15 x 10.3 x 2.8 in),0.4Kg (0.88 lb),257,9,/inventories/7687-1,/minifigs/inset-7687-1,"£19.55, $29.99","New: $18, Used: $13",4.6,11,"Police, Microscale, Car, Christmas, Lamppost, Snowman, Sled, Skating, Post, Mail, Fireplace, Fountain",Normal,Box,
7746-1,Single-Drum Roller,Modern day,City,Construction,2009,,,208,2,/inventories/7746-1,/minifigs/inset-7746-1,"£24.99, $29.99","New: $51, Used: $30",4.3,7,Construction,Normal,Box,Included in 66330-1 
7747-1,Wind Turbine Transport,Modern day,City,Town,2009,,,444,2,/inventories/7747-1,/minifigs/inset-7747-1,"£41.99, $59.99","New: $144, Used: $89",4.2,11,"Truck, Octan, Trailer, Windmill, Cargo",Normal,Box,
7748-1,Corporate Alliance Tank Droid,Licensed,Star Wars,The Clone Wars,2009,28.2 x 26.2 x 4.6 cm (11.1 x 10.3 x 1.8 in),0.31Kg (0.68 lb),216,4,/inventories/7748-1,/minifigs/inset-7748-1,"£24.99, $24.99","New: $42, Used: $22",4.1,37,"Battle Droid, Clone Trooper, Cartoon, Separatists, Droid",Normal,Box,
7749-1,Echo Base,Licensed,Star Wars,Episode V,2009,28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in),0.34Kg (0.75 lb),155,5,/inventories/7749-1,/minifigs/inset-7749-1,"£24.99, $24.99","New: $41, Used: $24",4.2,57,"Han Solo, Hoth Rebel Trooper, Snowtrooper, Hoth, Tauntaun",Normal,Box,Included in 66364-1 66366-1 
7751-1,Ahsoka's Starfighter and Vulture Droid,Licensed,Star Wars,The Clone Wars,2009,,,291,4,/inventories/7751-1,/minifigs/inset-7751-1,"£31.29, $39.99","New: $127, Used: $66",4.2,14,"Ahsoka Tano, Buzz Droid, R7-A7, Starfighter, Cartoon, Separatists, Droid, Converts, Jedi",Normal,Box,[US] This set is exclusive to Walmart.
7752-1,Count Dooku's Solar Sailer,Licensed,Star Wars,The Clone Wars,2009,,,385,4,/inventories/7752-1,/minifigs/inset-7752-1,"£39.99, $54.99","New: $86, Used: $45",3.9,21,"Count Dooku, FA-4 Pilot Droid, Magnaguard, Separatists, Droid",Normal,Box,This set is exclusive to Toys R Us in the U.S.
7753-1,Pirate Tank,Licensed,Star Wars,The Clone Wars,2009,,,372,3,/inventories/7753-1,/minifigs/inset-7753-1,"£34.99, $39.99","New: $59, Used: $34",4.4,11,"Hondo Ohnaka, Obi-Wan Kenobi, Turk Falso, Cartoon",Normal,Box,This set is exclusive to Target in the U.S.
7754-1,Home One Mon Calamari Star Cruiser,Licensed,Star Wars,Episode VI,2009,,,789,6,/inventories/7754-1,/minifigs/inset-7754-1,"£89.99, $109.99","New: $108, Used: $100",4.6,14,"Admiral Ackbar, Crix Madine, Lando Calrissian, Mon Calamari Officer, Mon Mothma, Rebel Pilot, Starfighter, Awing",Normal,Box,This set is exclusive to Toys R Us in the U.S.
7778-1,Midi-scale Millennium Falcon,Licensed,Star Wars,Episode IV,2009,,,356,0,/inventories/7778-1,,"£34.99, $39.99","New: $104, Used: $45",4.3,17,"Smuggler, Midiscale",Normal,Box,This set is exclusive to Walmart in the U.S.
7800-1,Off Road Racer,Racing,Racers,Tiny Turbos,2009,,,28,0,/inventories/7800-1,,,"New: $4, Used: $1",5.0,1review,"Polybag, Microscale",Normal,Polybag,[UK] Given away with The Daily Mirror Promotion Oct/Nov 2009
7801-1,Rally Racer,Racing,Racers,Tiny Turbos,2009,,,42,0,/inventories/7801-1,,,"New: $3, Used: $3",4.0,1review,"Polybag, Microscale",Normal,Polybag,"[UK] Given away with The Daily Mirror Promotion, March 2010"
7802-1,Le Mans Racer,Racing,Racers,Tiny Turbos,2009,,,29,0,/inventories/7802-1,,$2.99,"New: $4, Used: $5",4.0,1review,"Polybag, Microscale",Normal,Polybag,[UK] Given away with The Daily Mirror Promotion March 2010.[US] Sold at Target and Five Below for $2.99
7803-1,Jeep,Model making,Creator,,2009,,,38,0,/inventories/7803-1,,,"New: $3, Used: $1",4.0,3,"Polybag, Microscale, Car, Jeep",Normal,Polybag,[UK] Given away with The Daily Mirror Promotion October/November 2009.Included in 66373-1 
7804-1,Lizard,Model making,Creator,,2009,,,33,0,/inventories/7804-1,,,"New: $4, Used: $2",3.5,2,Polybag,Normal,Polybag,[UK] Given away with The Daily Mirror Promotion October/November 2009.
7805-1,Shark,Model making,Creator,,2009,,,44,0,/inventories/7805-1,,,"New: $6, Used: $3",3.3,3,"Polybag, Shark",Normal,Polybag,[UK] Given away with The Daily Mirror Promotion October/November 2009. Also given away with LEGO purchases from [email protected] in 2010.[US] Given away with LEGO purchases from [email protected] in 2010.
7806-1,Truck,Model making,Creator,,2009,,,,0,,,,"New: Not known, Used: Not known",,,"Truck, Microscale, Unreleased",Normal,,LEGO has confirmed that this set was never produced.
7807-1,Airliner,Model making,Creator,,2009,,,,0,,,,"New: Not known, Used: Not known",,,"Aircraft, Microscale, Unreleased",Normal,,LEGO has confirmed that this set was never produced.
7808-1,Yellow Airplane,Model making,Creator,,2009,,,34,0,/inventories/7808-1,,," New: $2, Used: $2",4.0,1review,"Polybag, Aircraft, Microscale",Normal,Polybag,[UK] Given away with The Daily Mirror Promotion October 2010.[NL] Available at Gamma stores in the Netherlands with a 50 Euro purchase during October 2011.Included in 66373-1 
8014-1,Clone Walker Battle Pack,Licensed,Star Wars,The Clone Wars,2009,19.1 x 14.1 x 4.6 cm (7.5 x 5.6 x 1.8 in),0.11Kg (0.24 lb),72,4,/inventories/8014-1,/minifigs/inset-8014-1,"£9.99, $11.99","New: $38, Used: $22",4.6,84,"Clone Trooper Commander, Clone Trooper, Walker, Cartoon",Normal,Box,Included in 66341-1 
8015-1,Assassin Droids Battle Pack,Licensed,Star Wars,The Clone Wars,2009,19.1 x 14.1 x 4.6 cm (7.5 x 5.6 x 1.8 in),0.1Kg (0.22 lb),94,5,/inventories/8015-1,/minifigs/inset-8015-1,"£9.99, $11.99","New: $16, Used: $7",4.1,35,"Assassin Droid, Cartoon, Droid",Normal,Box,Included in 66341-1 
8016-1,Hyena Droid Bomber,Licensed,Star Wars,The Clone Wars,2009,28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in),0.41Kg (0.9 lb),232,3,/inventories/8016-1,/minifigs/inset-8016-1,"£24.99, $19.99","New: $47, Used: $16",4.1,35,"Battle Droid, Starfighter, Cartoon, Separatists, Droid, Converts",Normal,Box,
8017-1,Darth Vader's TIE Fighter,Licensed,Star Wars,Episode IV,2009,38.2 x 26.2 x 7.1 cm (15 x 10.3 x 2.8 in),0.55Kg (1.21 lb),251,1,/inventories/8017-1,/minifigs/inset-8017-1,"£34.99, $29.99","New: $113, Used: $37",4.2,49,"Darth Vader, Starfighter",Normal,Box,Included in 66308-1 
8018-1,Armored Assault Tank (AAT),Licensed,Star Wars,The Clone Wars,2009,48 x 28.2 x 6.1 cm (18.9 x 11.1 x 2.4 in),0.79Kg (1.74 lb),407,7,/inventories/8018-1,/minifigs/inset-8018-1,"£39.99, $49.99","New: $140, Used: $50",4.6,49,"Battle Droid, Clone Trooper, Super Battle Droid, Yoda, Cartoon, Separatists, Droid, Aat",Normal,Box,
8019-1,Republic Attack Shuttle,Licensed,Star Wars,The Clone Wars,2009,54 x 28.2 x 7.8 cm (21.3 x 11.1 x 3.1 in),1.12Kg (2.47 lb),636,3,/inventories/8019-1,/minifigs/inset-8019-1,"£49.99, $59.99","New: $113, Used: $51",4.5,35,"Clone Pilot, Clone Trooper, Mace Windu, Cartoon",Normal,Box,
8033-1,General Grievous' Starfighter,Licensed,Star Wars,The Clone Wars,2009,,,44,0,/inventories/8033-1,,$3.99,"New: $5, Used: $3",4.3,7,"Polybag, Microscale, Starfighter, Cartoon, Separatists",Normal,Polybag,[UK] Given away with The Daily Mirror Promotion Sep 2009.[US] Target exclusive ($3.99)
8036-1,Separatist Shuttle,Licensed,Star Wars,The Clone Wars,2009,38.2 x 26.2 x 5.7 cm (15 x 10.3 x 2.2 in),0.47Kg (1.04 lb),259,5,/inventories/8036-1,/minifigs/inset-8036-1,"£34.99, $29.99","New: $46, Used: $27",4.4,26,"Battle Droid Pilot, Battle Droid, Nute Gunray, Onaconda Farr, Cartoon, Separatists, Droid",Normal,Box,
8037-1,Anakin's Y-wing Starfighter,Licensed,Star Wars,The Clone Wars,2009,54 x 28.2 x 7.8 cm (21.3 x 11.1 x 3.1 in),0.96Kg (2.11 lb),570,3,/inventories/8037-1,/minifigs/inset-8037-1,"£49.99, $59.99","New: $119, Used: $54",4.7,23,"Ahsoka Tano, Anakin Skywalker, R2-D2, Starfighter, Cartoon, Droid",Normal,Box,
8038-1,The Battle of Endor,Licensed,Star Wars,Episode VI,2009,58.2 x 37.8 x 8.7 cm (22.9 x 14.9 x 3.4 in),1.54Kg (3.39 lb),890,12,/inventories/8038-1,/minifigs/inset-8038-1,"£84.99, $99.99","New: $191, Used: $110",4.8,36,"Chewbacca, Chief Chirpa, Endor Rebel Trooper, Han Solo, Imperial Trooper, Paploo, Princess Leia, R2-D2, Scout Trooper, Wicket W. Warrick, Walker, Droid, Forest, Catapult, Glider, Bunker",Normal,Box,
8039-1,Venator-Class Republic Attack Cruiser,Licensed,Star Wars,The Clone Wars,2009,58.2 x 37.8 x 8.7 cm (22.9 x 14.9 x 3.4 in),1.95Kg (4.3 lb),1170,5,/inventories/8039-1,/minifigs/inset-8039-1,"£102.99, $119.99","New: $304, Used: $180",4.5,21,"Clone Pilot, Clone Trooper, Palpatine, Senate Commando, Cartoon",Normal,Box,
8063-1,Tractor with Trailer,Technical,Technic,,2009,,,1100,0,/inventories/8063-1,,"£63.59, $99.99","New: $140, Used: $154",4.2,5,"Trailer, Tractor, Farm",Normal,Box,
8119-1,Thunder Racer,Racing,Racers,Tiny Turbos,2009,10.2 x 14.7 x 4.8 cm (4 x 5.8 x 1.9 in),0.1Kg (0.22 lb),48,0,/inventories/8119-1,,"£3.89, $4.99","New: $11, Used: $4",5.0,2,Microscale,Normal,Canister,
8120-1,Rally Sprinter,Racing,Racers,Tiny Turbos,2009,10.2 x 14.7 x 4.8 cm (4 x 5.8 x 1.9 in),0.09Kg (0.2 lb),47,0,/inventories/8120-1,,"£3.89, $4.99","New: $6, Used: $3",4.5,2,Microscale,Normal,Canister,
8121-1,Track Marshall,Racing,Racers,Tiny Turbos,2009,10.2 x 14.7 x 4.8 cm (4 x 5.8 x 1.9 in),0.09Kg (0.2 lb),48,0,/inventories/8121-1,,"£3.89, $4.99","New: $13, Used: $3",3.5,2,Microscale,Normal,Canister,
8122-1,Desert Viper,Racing,Racers,Tiny Turbos,2009,10.2 x 14.7 x 4.8 cm (4 x 5.8 x 1.9 in),0.09Kg (0.2 lb),41,0,/inventories/8122-1,,"£3.89, $4.99","New: $11, Used: $1",3.0,1review,Microscale,Normal,Canister,
8123-1,Ferrari F1 Racers,Racing,Racers,Tiny Turbos,2009,,,139,0,/inventories/8123-1,,"£9.79, $14.99","New: $30, Used: $10",3.0,2,"Microscale, Racing, Shell, Ferrari",Normal,Box,
8124-1,Ice Rally,Racing,Racers,Tiny Turbos,2009,26.1 x 14.8 x 7 cm (10.3 x 5.8 x 2.8 in),0.29Kg (0.64 lb),170,0,/inventories/8124-1,,"£9.79, $14.99","New: $20, Used: $7",5.0,1review,Microscale,Normal,Box,
8125-1,Thunder Raceway,Racing,Racers,Tiny Turbos,2009,26.1 x 14.8 x 7 cm (10.3 x 5.8 x 2.8 in),0.29Kg (0.64 lb),160,0,/inventories/8125-1,,"£9.79, $14.99","New: $18, Used: $6",,,Microscale,Normal,Box,
8126-1,Desert Challenge,Racing,Racers,Tiny Turbos,2009,26.1 x 14.8 x 7 cm (10.3 x 5.8 x 2.8 in),0.3Kg (0.66 lb),144,0,/inventories/8126-1,,"£9.79, $14.99","New: $16, Used: $8",3.0,1review,"Microscale, 4X4",Normal,Box,
8162-1,Race Rig,Racing,Racers,Power Racers,2009,26.2 x 14.1 x 6.1 cm (10.3 x 5.6 x 2.4 in),0.22Kg (0.48 lb),104,0,/inventories/8162-1,,"£7.85, $12.99","New: $22, Used: $5",,,Truck,Normal,Box,
8163-1,Blue Sprinter,Racing,Racers,Power Racers,2009,26.2 x 14.1 x 6.1 cm (10.3 x 5.6 x 2.4 in),0.22Kg (0.48 lb),110,0,/inventories/8163-1,,"£7.85, $12.99","New: $20, Used: $9",5.0,1review,"Pullback Motor, Racing Car",Normal,Box,
8164-1,Extreme Wheelie,Racing,Racers,Power Racers,2009,26.2 x 14.1 x 6.1 cm (10.3 x 5.6 x 2.4 in),0.19Kg (0.42 lb),87,0,/inventories/8164-1,,"£7.85, $12.99","New: $8, Used: $5",4.0,1review,"Pullback Motor, Racing Car",Normal,Box,
8165-1,Monster Jumper,Racing,Racers,Power Racers,2009,26.2 x 14.1 x 6.1 cm (10.3 x 5.6 x 2.4 in),0.22Kg (0.48 lb),91,0,/inventories/8165-1,,"£7.85, $12.99","New: $10, Used: $5",4.0,1review,4X4,Normal,Box,
8166-1,Wing Jumper,Racing,Racers,Power Racers,2009,28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in),0.47Kg (1.04 lb),203,0,/inventories/8166-1,,"£14.65, $19.99","New: $28, Used: $14",,,Slammer,Normal,Box,
8167-1,Jump Riders,Racing,Racers,Power Racers,2009,28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in),0.47Kg (1.04 lb),209,0,/inventories/8167-1,,"£15.65, $19.99","New: $24, Used: $14",,,"Motorcycle, Multibuild, Racing, Technic",Normal,Box,
8168-1,Ferrari Victory,Racing,Racers,Ferrari,2009,28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in),0.38Kg (0.84 lb),202,3,/inventories/8168-1,/minifigs/inset-8168-1,"£15.65, $19.99","New: $72, Used: $40",3.5,4,"Felipe Massa, Kimi Raikkonen, Racing, Ferrari, Italy",Normal,Box,
10287-1,Intelligent NXT Brick (Black),Technical,Mindstorms,NXT,2009,,,1,0,,,"£107.65, $169.99","New: $99, Used: $230",,,,Normal,,
20007-1,Republic Attack Cruiser,Licensed,Star Wars,The Clone Wars,2009,,,84,0,/inventories/20007-1,,,"New: $30, Used: $15",4.5,6,"Polybag, Microscale, Cartoon, Brickmaster",Normal,Polybag,[US] BrickMaster exclusive.
20008-1,BrickMaster - Creator,Model making,Creator,,2009,,,79,0,/inventories/20008-1,,£4.59,"New: $8, Used: $5",5.0,1review,"Polybag, Truck, Microscale, Brickmaster",Normal,Polybag,[US] BrickMaster exclusive set.[UK] Available from Shop At Home.
